,,,UC Irvine Office of the Registrar,
,,,        WebRoster Demo Listing,
,,,,
       IMPORTANT!  It is your responsibility to ensure confidentiality,,,,
       of the student information below.  Further disclosure is,,,,
"       governed by Federal and State law and University policy, and",,,,
       is prohibited without written consent of the student(s).  For,,,,
"       questions, contact Mark Fonseca (949/824-9672,",,,,
       mark.fonseca@uci.edu) in the Office of the Registrar.,,,,
,,,,
"Demo Quarter, 2014",,,,
,,,,
PRESIDENTIAL MUSIC      Course Code 99900,,,,
"    Demo* 40D, Sec. A, 4-unit Lecture",,,,
"    Instructor: DE TOQUEVILLE, A.",,,,
"    Time, Place: TuTh 9:30-10:50, MM 316",,,,
    Enrollment: 19 students (none with a FERPA privacy block),,,,
,,,,
Student#,Name,Lvl,Opt,Email
282746053,"Raymond, Howard",SR,GR,HRAYMOND@UCI.EDU
283719900,"Ingram, Quinlan",SR,GR,QINGRAM@UCI.EDU
284693747,"Carson, Belle",SR,GR,BCARSON@UCI.EDU
285667594,"Beard, Hillary",SR,GR,HBEARD@UCI.EDU
286641441,"Robertson, Amal",SR,GR,AROBERTSON@UCI.EDU
287615288,"Whitney, Lee",SR,P/N,LWHITNEY@UCI.EDU
288589135,"Branch, Karly",SR,GR,KBRANCH@UCI.EDU
289562982,"Burnett, Hayfa",SR,GR,HBURNETT@UCI.EDU
290536829,"Newton, Maxine",JR,GR,MNEWTON@UCI.EDU
291510676,"Mcmillan, Barry",JR,GR,BMCMILLAN@UCI.EDU
292484523,"Abbott, Gail",SR,GR,GABBOTT@UCI.EDU
293458370,"Olsen, Melyssa",SR,GR,MOLSEN@UCI.EDU
294432217,"Rojas, Wanda",SR,GR,WROJAS@UCI.EDU
295406064,"Anthony, George",SR,P/N,GANTHONY@UCI.EDU
296379911,"White, Glenna",SR,GR,GWHITE@UCI.EDU
301249146,"Stuart, Amy",SR,GR,ASTUART@UCI.EDU
302222993,"Roberson, Camilla",SR,GR,CROBERSON@UCI.EDU
303196840,"Jimenez, Charde",SR,GR,CJIMENEZ@UCI.EDU
304170687,"Cobb, Jada",SR,GR,JCOBB@UCI.EDU
305144534,"Duke, Dillon",SR,P/N,DDUKE@UCI.EDU
306118381,"Stephens, Uriah",SR,GR,USTEPHENS@UCI.EDU
307092228,"Mooney, Cara",SR,GR,CMOONEY@UCI.EDU
308066075,"Wilkins, Kennan",SR,GR,KWILKINS@UCI.EDU
309039922,"Albert, Orli",JR,GR,OALBERT@UCI.EDU
310013769,"Lancaster, Brynn",JR,GR,BLANCASTER@UCI.EDU
310987616,"Slater, Ariana",SR,GR,ASLATER@UCI.EDU
311961463,"Atkinson, Jelani",SR,GR,JATKINSON@UCI.EDU
312935310,"Wyatt, Kevin",SR,P/N,KWYATT@UCI.EDU
313909157,"Nunez, Latifah",SR,GR,LNUNEZ@UCI.EDU
314883004,"Hurley, Gary",SR,GR,GHURLEY@UCI.EDU
315856851,"Mcconnell, Quinlan",SR,P/N,QMCCONNELL@UCI.EDU
316830698,"Norris, Desirae",SR,GR,DNORRIS@UCI.EDU
317804545,"Wilson, Gay",SR,GR,GWILSON@UCI.EDU
318778392,"Lott, Chase",SR,GR,CLOTT@UCI.EDU
319752239,"Tran, Dalton",SR,GR,DTRAN@UCI.EDU
320726086,"Herman, Bo",SR,GR,BHERMAN@UCI.EDU
321699933,"Greer, Regina",SR,GR,RGREER@UCI.EDU
322673780,"Wagner, Clementine",SR,P/N,CWAGNER@UCI.EDU
323647627,"Valdez, Nash",SR,GR,NVALDEZ@UCI.EDU
324621474,"Glass, Ignacia",SR,GR,IGLASS@UCI.EDU
325595321,"Garza, Morgan",SR,GR,MGARZA@UCI.EDU
326569168,"Craig, Carol",SR,GR,CCRAIG@UCI.EDU
327543015,"Koch, Vaughan",JR,GR,VKOCH@UCI.EDU
328516862,"Gates, Lynn",JR,GR,LGATES@UCI.EDU
329490709,"Rasmussen, Susan",SR,GR,SRASMUSSEN@UCI.EDU
330464556,"Crawford, Hunter",SR,P/N,HCRAWFORD@UCI.EDU
331438403,"Phillips, Wallace",SR,GR,WPHILLIPS@UCI.EDU
332412250,"Glover, Audra",SR,GR,AGLOVER@UCI.EDU
333386097,"William, Jack",SR,P/N,JWILLIAM@UCI.EDU
334359944,"Atkinson, Lani",SR,GR,LATKINSON@UCI.EDU
335333791,"Lynch, Karina",SR,GR,KLYNCH@UCI.EDU
336307638,"Spencer, Jakeem",SR,GR,JSPENCER@UCI.EDU
337281485,"Griffith, Joel",SR,GR,JGRIFFITH@UCI.EDU
338255332,"Bonner, Constance",SR,GR,CBONNER@UCI.EDU
339229179,"Pruitt, Hop",SR,GR,HPRUITT@UCI.EDU
340203026,"Yang, Zia",SR,P/N,ZYANG@UCI.EDU
341176873,"Hart, Thomas",SR,GR,THART@UCI.EDU
342150720,"Russell, Sharon",SR,GR,SRUSSELL@UCI.EDU
343124567,"Mooney, Cullen",SR,GR,CMOONEY@UCI.EDU
344098414,"Sherman, Chava",SR,GR,CSHERMAN@UCI.EDU
345072261,"Guerrero, Ruth",SR,GR,RGUERRERO@UCI.EDU
346046108,"Medina, Kareem",JR,GR,KMEDINA@UCI.EDU
347019955,"Bernard, Nasim",JR,GR,NBERNARD@UCI.EDU
347993802,"Conley, Gisela",SR,P/N,GCONLEY@UCI.EDU
348967649,"Larson, Nissim",SR,GR,NLARSON@UCI.EDU
349941496,"Decker, Anjolie",SR,GR,ADECKER@UCI.EDU
359679966,"English, Neil",SR,GR,NENGLISH@UCI.EDU
360653813,"Rosales, Melanie",SR,GR,MROSALES@UCI.EDU
361627660,"Sweet, Francis",JR,GR,FSWEET@UCI.EDU
362601507,"Hoover, Tatiana",JR,GR,THOOVER@UCI.EDU
363575354,"Greer, Rahim",SR,GR,RGREER@UCI.EDU
364549201,"Lewis, Ifeoma",SR,GR,ILEWIS@UCI.EDU
365523048,"Gibson, Lamar",SR,GR,LGIBSON@UCI.EDU
366496895,"Caldwell, Stone",SR,P/N,SCALDWELL@UCI.EDU
367470742,"Tillman, Zeus",SR,GR,ZTILLMAN@UCI.EDU
368444589,"Mcintosh, Renee",SR,GR,RMCINTOSH@UCI.EDU
369418436,"Barrett, Maya",SR,P/N,MBARRETT@UCI.EDU
370392283,"Sawyer, Odysseus",SR,GR,OSAWYER@UCI.EDU
371366130,"Johnson, Lester",SR,GR,LJOHNSON@UCI.EDU
372339977,"Richardson, Whoopi",SR,GR,WRICHARDSON@UCI.EDU
373313824,"Munoz, Chava",SR,GR,CMUNOZ@UCI.EDU
374287671,"Powers, Yardley",SR,GR,YPOWERS@UCI.EDU
375261518,"Horn, Stacy",SR,GR,SHORN@UCI.EDU
376235365,"Hardin, Erasmus",SR,P/N,EHARDIN@UCI.EDU
377209212,"Hall, Natalie",SR,GR,NHALL@UCI.EDU
378183059,"Duncan, Joy",SR,GR,JDUNCAN@UCI.EDU
379156906,"Cox, Bethany",SR,GR,BCOX@UCI.EDU
380130753,"Estrada, Kieran",JR,GR,KESTRADA@UCI.EDU
381104600,"Phelps, Zoe",JR,GR,ZPHELPS@UCI.EDU
382078447,"Mccarty, Ignatius",SR,GR,IMCCARTY@UCI.EDU
383052294,"Carr, Bert",SR,GR,BCARR@UCI.EDU
384026141,"Le, Roary",SR,P/N,RLE@UCI.EDU
384999988,"Mullen, Akeem",SR,GR,AMULLEN@UCI.EDU
385973835,"Bass, Joseph",SR,GR,JBASS@UCI.EDU
386947682,"Suarez, Fatima",SR,P/N,FSUAREZ@UCI.EDU
387921529,"Welch, Clinton",SR,GR,CWELCH@UCI.EDU
388895376,"Morse, Mariam",SR,GR,MMORSE@UCI.EDU
389869223,"Ray, Kennedy",SR,GR,KRAY@UCI.EDU
390843070,"Gilbert, Trevor",SR,GR,TGILBERT@UCI.EDU
391816917,"Glenn, Ethan",SR,GR,EGLENN@UCI.EDU
392790764,"Huff, Fallon",SR,GR,FHUFF@UCI.EDU
393764611,"Bird, Zenia",SR,P/N,ZBIRD@UCI.EDU
394738458,"Landry, McKenzie",SR,GR,MLANDRY@UCI.EDU
395712305,"Dominguez, Kareem",SR,GR,KDOMINGUEZ@UCI.EDU
396686152,"Gamble, Dennis",SR,GR,DGAMBLE@UCI.EDU
397659999,"Salas, Priscilla",SR,GR,PSALAS@UCI.EDU
398633846,"Schmidt, Larissa",JR,GR,LSCHMIDT@UCI.EDU
399607693,"Fuentes, Ebony",JR,GR,EFUENTES@UCI.EDU
400581540,"Hart, Kylan",SR,GR,KHART@UCI.EDU
401555387,"Dorsey, Hayfa",SR,P/N,HDORSEY@UCI.EDU
402529234,"Moss, Wesley",SR,GR,WMOSS@UCI.EDU
403503081,"Doyle, Jarrod",SR,GR,JDOYLE@UCI.EDU
404476928,"Kelley, Aspen",SR,P/N,AKELLEY@UCI.EDU
405450775,"Mcguire, Nehru",SR,GR,NMCGUIRE@UCI.EDU
406424622,"Mosley, May",SR,GR,MMOSLEY@UCI.EDU
407398469,"Valdez, Autumn",SR,GR,AVALDEZ@UCI.EDU
408372316,"Roach, Hilel",SR,GR,HROACH@UCI.EDU
409346163,"Anthony, Oscar",SR,GR,OANTHONY@UCI.EDU
410320010,"Roach, Demetria",SR,GR,DROACH@UCI.EDU
411293857,"Vazquez, Lillith",SR,P/N,LVAZQUEZ@UCI.EDU
412267704,"Stuart, Ursa",SR,GR,USTUART@UCI.EDU
413241551,"Mack, Octavius",SR,GR,OMACK@UCI.EDU
414215398,"Fernandez, Kuame",SR,GR,KFERNANDEZ@UCI.EDU
415189245,"Alford, Nell",SR,GR,NALFORD@UCI.EDU
416163092,"Nielsen, Mari",SR,GR,MNIELSEN@UCI.EDU
417136939,"Brewer, Armando",JR,GR,ABREWER@UCI.EDU
