,,,UC Irvine Office of the Registrar,
,,,        WebRoster Demo Listing,
,,,,
       IMPORTANT!  It is your responsibility to ensure confidentiality,,,,
       of the student information below.  Further disclosure is,,,,
"       governed by Federal and State law and University policy, and",,,,
       is prohibited without written consent of the student(s).  For,,,,
"       questions, contact Mark Fonseca (949/824-9672,",,,,
       mark.fonseca@uci.edu) in the Office of the Registrar.,,,,
,,,,
"Demo Quarter, 2014",,,,
,,,,
PRESIDENTIAL MUSIC      Course Code 99900,,,,
"    Demo* 40D, LAB 2",,,,
"    Instructor: DE TOQUEVILLE, A.",,,,
"    Time, Place: TuTh 9:30-10:50, MM 316",,,,
    Enrollment: 19 students (none with a FERPA privacy block),,,,
,,,,
Student#,Name,Lvl,Opt,Email
282746053,"Raymond, Howard",SR,GR,HRAYMOND@UCI.EDU
283719900,"Ingram, Quinlan",SR,GR,QINGRAM@UCI.EDU
284693747,"Carson, Belle",SR,GR,BCARSON@UCI.EDU
285667594,"Beard, Hillary",SR,GR,HBEARD@UCI.EDU
286641441,"Robertson, Amal",SR,GR,AROBERTSON@UCI.EDU
287615288,"Whitney, Lee",SR,P/N,LWHITNEY@UCI.EDU
288589135,"Branch, Karly",SR,GR,KBRANCH@UCI.EDU
289562982,"Burnett, Hayfa",SR,GR,HBURNETT@UCI.EDU
290536829,"Newton, Maxine",JR,GR,MNEWTON@UCI.EDU
291510676,"Mcmillan, Barry",JR,GR,BMCMILLAN@UCI.EDU
292484523,"Abbott, Gail",SR,GR,GABBOTT@UCI.EDU
293458370,"Olsen, Melyssa",SR,GR,MOLSEN@UCI.EDU
294432217,"Rojas, Wanda",SR,GR,WROJAS@UCI.EDU
295406064,"Anthony, George",SR,P/N,GANTHONY@UCI.EDU
296379911,"White, Glenna",SR,GR,GWHITE@UCI.EDU
301249146,"Stuart, Amy",SR,GR,ASTUART@UCI.EDU
302222993,"Roberson, Camilla",SR,GR,CROBERSON@UCI.EDU
303196840,"Jimenez, Charde",SR,GR,CJIMENEZ@UCI.EDU
304170687,"Cobb, Jada",SR,GR,JCOBB@UCI.EDU
305144534,"Duke, Dillon",SR,P/N,DDUKE@UCI.EDU
306118381,"Stephens, Uriah",SR,GR,USTEPHENS@UCI.EDU
307092228,"Mooney, Cara",SR,GR,CMOONEY@UCI.EDU
308066075,"Wilkins, Kennan",SR,GR,KWILKINS@UCI.EDU
309039922,"Albert, Orli",JR,GR,OALBERT@UCI.EDU
310013769,"Lancaster, Brynn",JR,GR,BLANCASTER@UCI.EDU
310987616,"Slater, Ariana",SR,GR,ASLATER@UCI.EDU
311961463,"Atkinson, Jelani",SR,GR,JATKINSON@UCI.EDU
312935310,"Wyatt, Kevin",SR,P/N,KWYATT@UCI.EDU
313909157,"Nunez, Latifah",SR,GR,LNUNEZ@UCI.EDU
314883004,"Hurley, Gary",SR,GR,GHURLEY@UCI.EDU
315856851,"Mcconnell, Quinlan",SR,P/N,QMCCONNELL@UCI.EDU
316830698,"Norris, Desirae",SR,GR,DNORRIS@UCI.EDU
317804545,"Wilson, Gay",SR,GR,GWILSON@UCI.EDU
318778392,"Lott, Chase",SR,GR,CLOTT@UCI.EDU
319752239,"Tran, Dalton",SR,GR,DTRAN@UCI.EDU
320726086,"Herman, Bo",SR,GR,BHERMAN@UCI.EDU
321699933,"Greer, Regina",SR,GR,RGREER@UCI.EDU
322673780,"Wagner, Clementine",SR,P/N,CWAGNER@UCI.EDU
323647627,"Valdez, Nash",SR,GR,NVALDEZ@UCI.EDU
324621474,"Glass, Ignacia",SR,GR,IGLASS@UCI.EDU
325595321,"Garza, Morgan",SR,GR,MGARZA@UCI.EDU
326569168,"Craig, Carol",SR,GR,CCRAIG@UCI.EDU
327543015,"Koch, Vaughan",JR,GR,VKOCH@UCI.EDU
328516862,"Gates, Lynn",JR,GR,LGATES@UCI.EDU
329490709,"Rasmussen, Susan",SR,GR,SRASMUSSEN@UCI.EDU
330464556,"Crawford, Hunter",SR,P/N,HCRAWFORD@UCI.EDU
331438403,"Phillips, Wallace",SR,GR,WPHILLIPS@UCI.EDU
332412250,"Glover, Audra",SR,GR,AGLOVER@UCI.EDU
333386097,"William, Jack",SR,P/N,JWILLIAM@UCI.EDU
334359944,"Atkinson, Lani",SR,GR,LATKINSON@UCI.EDU
335333791,"Lynch, Karina",SR,GR,KLYNCH@UCI.EDU
336307638,"Spencer, Jakeem",SR,GR,JSPENCER@UCI.EDU
337281485,"Griffith, Joel",SR,GR,JGRIFFITH@UCI.EDU
338255332,"Bonner, Constance",SR,GR,CBONNER@UCI.EDU
339229179,"Pruitt, Hop",SR,GR,HPRUITT@UCI.EDU
340203026,"Yang, Zia",SR,P/N,ZYANG@UCI.EDU
