,,,UC Irvine Office of the Registrar,,,,,,,,,,
,,,        WebRoster Demo Listing,,,,,8594856,"Hopper, Breanna",HOPPER,BREANNA,BHOPPER@UCI.EDU,
,,,,,,,,12168703,"Murray, Jordan",MURRAY,JORDAN,JMURRAY@UCI.EDU,
       IMPORTANT!  It is your responsibility to ensure confidentiality,,,,,,,,8594957,"Santana, Jordan",SANTANA,JORDAN,JSANTANA@UCI.EDU,
       of the student information below.  Further disclosure is,,,,,,,,12168804,"Delgado, Ocean",DELGADO,OCEAN,ODELGADO@UCI.EDU,
"       governed by Federal and State law and University policy, and",,,,,,,,15742651,"Sargent, Zorita",SARGENT,ZORITA,ZSARGENT@UCI.EDU,
       is prohibited without written consent of the student(s).  For,,,,,,,,16716498,"Douglas, Forrest",DOUGLAS,FORREST,FDOUGLAS@UCI.EDU,
"       questions, contact Mark Fonseca (949/824-9672,",,,,,,,,17690345,"Gordon, Casey",GORDON,CASEY,CGORDON@UCI.EDU,
       mark.fonseca@uci.edu) in the Office of the Registrar.,,,,,,,,18664192,"Wynn, August",WYNN,AUGUST,AWYNN@UCI.EDU,
,,,,,,,,19638039,"Carey, Ebony",CAREY,EBONY,ECAREY@UCI.EDU,
"Demo Quarter, 2014",,,,,,,,20611886,"Gates, Alvin",GATES,ALVIN,AGATES@UCI.EDU,
,,,,,,,,21585733,"Skinner, Shea",SKINNER,SHEA,SSKINNER@UCI.EDU,
PRESIDENTIAL MUSIC      Course Code 99900,,,,,,,,22559580,"Davis, Suki",DAVIS,SUKI,SDAVIS@UCI.EDU,
"    Demo* 40D, Sec. A, 4-unit Lecture",,,,,,,,23533427,"Kelley, Allegra",KELLEY,ALLEGRA,AKELLEY@UCI.EDU,
"    Instructor: DE TOQUEVILLE, A.",,,,,,,,24507274,"Mccarthy, Irma",MCCARTHY,IRMA,IMCCARTHY@UCI.EDU,
"    Time, Place: TuTh 9:30-10:50, MM 316",,,,,,,,25481121,"Lawson, Giacomo",LAWSON,GIACOMO,GLAWSON@UCI.EDU,
    Enrollment: 19 students (none with a FERPA privacy block),,,,,,,,26454968,"Ayers, Harriet",AYERS,HARRIET,HAYERS@UCI.EDU,
,,,,,,,,27428815,"Edwards, Alec",EDWARDS,ALEC,AEDWARDS@UCI.EDU,
Student#,Name,Lvl,Opt,Email,,,,28402662,"Barber, Ina",BARBER,INA,IBARBER@UCI.EDU,
282746053,"Raymond, Howard",SR,GR,HRAYMOND@UCI.EDU,,,,29376509,"Valdez, Oliver",VALDEZ,OLIVER,OVALDEZ@UCI.EDU,
283719900,"Ingram, Quinlan",SR,GR,QINGRAM@UCI.EDU,,,,30350356,"Landry, Camden",LANDRY,CAMDEN,CLANDRY@UCI.EDU,
284693747,"Carson, Belle",SR,GR,BCARSON@UCI.EDU,,,,31324203,"Kelley, Allen",KELLEY,ALLEN,AKELLEY@UCI.EDU,
285667594,"Beard, Hillary",SR,GR,HBEARD@UCI.EDU,,,,32298050,"Gonzalez, Shana",GONZALEZ,SHANA,SGONZALEZ@UCI.EDU,
286641441,"Robertson, Amal",SR,GR,AROBERTSON@UCI.EDU,,,,33271897,"Compton, Fiona",COMPTON,FIONA,FCOMPTON@UCI.EDU,
287615288,"Whitney, Lee",SR,P/N,LWHITNEY@UCI.EDU,,,,34245744,"Gilmore, Barrett",GILMORE,BARRETT,BGILMORE@UCI.EDU,
288589135,"Branch, Karly",SR,GR,KBRANCH@UCI.EDU,,,,35219591,"Hoffman, Oleg",HOFFMAN,OLEG,OHOFFMAN@UCI.EDU,
289562982,"Burnett, Hayfa",SR,GR,HBURNETT@UCI.EDU,,,,36193438,"Martinez, Macon",MARTINEZ,MACON,MMARTINEZ@UCI.EDU,
